,University_name,Region,Founded_year,Motto,UK_rank,World_rank,CWUR_score,Minimum_IELTS_score,UG_average_fees_(in_pounds),PG_average_fees_(in_pounds),International_students,Student_satisfaction,Student_enrollment,Academic_staff,Control_type,Academic_Calender,Campus_setting,Estimated_cost_of_living_per_year_(in_pounds),Latitude,Longitude,Website
37,University of Sussex,South East England,9999.0,Be still and know,38,140,77.7,5.5,14450,14450,27.20%,76.40%,"15,000-19,999","2,000-2,499",Public,,,12500,50.8677,-0.0875,www.sussex.ac.uk
38,University of Reading,South East England,1892.0,,38,164,77.7,5.5,14350,14165,18.90%,75.20%,"15,000-19,999","1,500-1,999",Public,Other,,8500,51.4414,-0.9418,www.reading.ac.uk
39,Nottingham Trent University,East Midlands,1992.0,,40,607,69.6,4.5,12163,12117,6.60%,81.70%,"30,000-34,999","2,000-2,499",Public,Quarters,Urban,9398,52.9581,-1.1542,www.ntu.ac.uk
40,University of Leicester,East Midlands,1957.0,So that they may have life,41,167,77.7,4.5,14000,13500,22.20%,78.00%,"15,000-19,999","1,500-1,999",Public,Semesters,Suburban,7650,52.6211,-1.1246,www2.le.ac.uk
41,University for the Creative Arts,South East England,2005.0,,42,2030,,4.5,11870,12150,11.70%,78.00%,"6,000-6,999",300-399,Public,,,8990,51.2151,-0.8054,www.ucreative.co.uk
42,Arts University Bournemouth,South West England,1885.0,"A place to shape and build your work; to learn, share, provoke and collaborate",43,3420,,4.5,12500,12500,13.60%,82.90%,"3,000-3,999",300-399,Public,,,6000,50.7417,-1.8977,aub.ac.uk
43,"SOAS, University of London",London,1916.0,Knowledge is Power,44,672,68.5,5.5,16880,16880,38.60%,71.20%,"5,000-5,999",700-799,Public,,Urban,10229,51.5224,-0.1293,www.soas.ac.uk/
44,Aberystwyth University,Wales,,A world without knowledge is no world at all,45,466,71.0,4.5,10500,11250,13.10%,86.10%,"7,000-7,999",700-799,Public,Semesters,Suburban,7771,52.4183,-4.0639,www.aber.ac.uk/
45,Keele University,West Midlands,1962.0,Thanke God for All,46,729,70.6,5.5,12500,13500,15.70%,82.50%,"10,000-14,999",800-899,Public,Semesters,Rural,8000,53.003,-2.2721,www.keele.ac.uk
46,University of Stirling,Scotland,1967.0,"By connecting, innovating and transforming, we believe our thinking can change the world",47,659,70.8,5.5,11275,11900,11.80%,75.60%,"10,000-14,999","1,000-1,499",Public,Semesters,Suburban,7000,56.1461,-3.9178,www.stir.ac.uk
47,Aston University,West Midlands,,Forward,48,699,70.5,5.5,13500,13500,16.50%,77.30%,"10,000-14,999",800-899,Public,Trimesters,Urban,6000,52.4867,-1.8882,www.aston.ac.uk
48,,London,1989.0,With united power,49,98,79.9,5.5,13650,13950,23.30%,74.30%,"20,000-24,999","3,000-3,499",Public,Semesters,Urban,9500,51.5241,-0.0404,www.qmw.ac.uk
49,Coventry University,West Midlands,1992.0,Skill and energy,50,611,69.0,4.5,10766,10689,27.10%,0%,"30,000-34,999","2,500-2,999",Public,Other,Urban,8097,52.4074,-1.5026,www.coventry.ac.uk
50,University of Lincoln,East of England,1992.0,Excellence through study,51,877,68.4,4.5,12800,15700,9.40%,79.30%,"15,000-19,999","1,000-1,499",Public,Semesters,Urban,9415,53.2279,-0.5502,www.lincoln.ac.uk
51,University of West London,London,1990.0,,52,2319,,4.5,10650,10995,17.20%,84.70%,"10,000-14,999","1,000-1,499",Public,Semesters,,10000,51.5069,-0.3032,www.uwl.ac.uk
52,Staffordshire University,West Midlands,1992.0,Dare to know,53,1184,,4.5,10500,12500,3.00%,79.80%,"10,000-14,999",700-799,Public,Semesters,Suburban,8097,53.0091,-2.1761,www.staffs.ac.uk
53,University of Kent,South East England,1965.0,Whose service is perfect freedom,54,416,72.5,5.5,12890,12890,20.40%,76.60%,"15,000-19,999","1,500-1,999",Public,Semesters,Suburban,8990,51.2967,1.063,www.kent.ac.uk/
54,Edge Hill University,North East England,9999.0,"From knowledge, opportunity",55,1560,,4.5,11150,12000,1.40%,79.10%,"10,000-14,999","1,000-1,499",Public,Semesters,Rural,8000,53.5588,-2.8703,www.edgehill.ac.uk
55,Leeds Arts University,Yorkshire and the Humber,1846.0,,56,153,,5.5,10500,10500,15.59%,79.00%,"2,000-2,999",400-499,Private,Semesters,Urban,8270,53.8088,-1.5516,www.leeds-art.ac.uk
56,,South East England,1992.0,Let us follow the Light,56,531,71.0,4.5,11500,11500,16.60%,79.30%,"25,000-29,999","1,500-1,999",Public,Semesters,Urban,6500,50.7939,-1.0974,www.port.ac.uk
57,University of the West of England,South West England,1992.0,"Light, Liberty, Learning",58,469,68.8,4.5,11250,11250,11.60%,83.10%,"25,000-29,999","1,500-1,999",Public,Semesters,Suburban,8217,51.5006,-2.5474,www.uwe.ac.uk
58,,Northern Ireland,1968.0,,58,634,70.4,4.5,12495,12495,8.20%,80.30%,"20,000-24,999","1,000-1,499",Public,Semesters,Urban,6000,55.1498,-6.6752,www.ulst.ac.uk
59,Liverpool Hope University,North West England,9999.0,Hope to all who need it,60,2103,,4.5,10800,10800,1.90%,79.30%,"5,000-5,999",300-399,Public,Trimesters,Suburban,7471,53.3908,-2.8923,www.hope.ac.uk
60,University of Huddersfield,Yorkshire and the Humber,1992.0,"For You, But Not Yours",61,1111,68.1,4.5,12000,12500,14.20%,78.30%,"15,000-19,999",900-999,Public,Continuous,Urban,8270,53.6428,-1.7781,www.hud.ac.uk
61,Manchester Metropolitan University,North West England,1992.0,"Many Arts, Many Skills",62,760,69.9,4.5,11150,11500,5.80%,0%,"30,000-34,999","2,500-2,999",Public,Semesters,,8000,53.4703,-2.2393,www.mmu.ac.uk
62,Norwich University of the Arts,East of England,1845.0,,62,4300,,4.5,12500,13000,4.90%,77.70%,"2,000-2,999",200-299,Public,,Urban,9415,52.6302,1.2967,www.nua.ac.uk/
63,Oxford Brookes University,South East England,1865.0,learning through doing,64,674,68.2,4.5,12400,12580,15.30%,77.00%,"15,000-19,999","1,000-1,499",Public,Semesters,Urban,8990,51.755,-1.2242,www.brookes.ac.uk
64,Northumbria University,North East England,1992.0,The age of learning,65,803,71.1,4.5,11500,11500,10.50%,78.30%,"25,000-29,999","1,000-1,499",Public,Semesters,Urban,8000,54.9769,-1.6072,www.unn.ac.uk
65,Sheffield Hallam University,Yorkshire and the Humber,1992.0,Learn and Serve,65,576,67.4,4.5,11500,12700,5.90%,81.10%,"30,000-34,999","2,000-2,499",Public,Semesters,Urban,8400,53.3785,-1.4663,www.shu.ac.uk
66,St George's University of London,London,1733.0,,67,196,72.9,5.5,18630,16500,9.40%,71.90%,"4,000-4,999",500-599,Public,Semesters,Urban,10229,51.427,-0.1739,www.sgul.ac.uk
67,"Goldsmiths, University of London",London,1904.0,Institute for Creative and Cultural Entrepreneurship,68,654,66.7,5.5,12710,12710,19.80%,72.00%,"10,000-14,999","1,000-1,499",Public,,Urban,8000,51.4743,-0.0354,www.gold.ac.uk
68,University of Roehampton,London,2004.0,,69,1273,65.9,4.5,12000,12500,9.50%,77.20%,"10,000-14,999",500-599,Public,Semesters,Urban,9500,51.4581,-0.2445,www.roehampton.ac.uk
69,Bangor University,Wales,1884.0,The Best Gift is Knowledge,70,542,71.9,5.5,12500,12500,14.40%,81.80%,"10,000-14,999","1,000-1,499",Public,Semesters,,7771,53.2295,-4.13,www.bangor.ac.uk
70,University of Chichester,South East England,2005.0,"By teaching, we learn",71,2585,,4.5,10250,10250,2.40%,79.90%,"5,000-5,999",500-599,Public,,Suburban,8990,50.845,-0.7729,www.chiuni.ac.uk
71,Falmouth University,South West England,2012.0,"Creative, Connected, Courageous",72,2943,,4.5,12000,12500,6.70%,76.50%,"6,000-6,999",300-399,Public,,,8217,50.1713,-5.1238,www.falmouth.ac.uk
72,"City, University of London",London,1966.0,To Serve Mankind,73,301,71.1,4.5,13000,14000,35.30%,77.10%,"20,000-24,999","2,000-2,499",Public,,Urban,12000,51.528,-0.1025,www.city.ac.uk
73,De Montfort University,East Midlands,,Excellence and Zeal,74,456,67.6,4.5,11750,12200,10.80%,80.00%,"25,000-29,999","1,500-1,999",Public,Continuous,,10000,52.6298,-1.1399,www.dmu.ac.uk/home.aspx
74,University of Central Lancashire,North West England,1992.0,From the Earth to the Sun,75,804,68.2,4.5,11450,11950,8.50%,78.70%,"20,000-24,999","1,500-1,999",Public,Semesters,Urban,7500,53.7645,-2.7083,www.uclan.ac.uk
75,,South West England,1856.0,Explore Dream Discover,76,4608,72.7,4.5,12250,13250,7.90%,79.90%,"1,000-1,999",100-199,Private,,,7500,50.3759,-4.1396,www.plym.ac.uk
76,University of Hull,Yorkshire and the Humber,1954.0,Bearing the Torch,77,734,74.0,4.5,12300,12300,9.60%,77.10%,"15,000-19,999","1,000-1,499",Public,Semesters,Suburban,8000,53.7731,-0.367,www.hull.ac.uk
77,Liverpool John Moores University,North West England,1992.0,Fortune Assists the Bold,78,691,71.3,4.5,11000,11000,4.70%,79.10%,"20,000-24,999","1,500-1,999",Public,Semesters,Urban,7471,53.4037,-2.9731,ljmu.ac.uk
78,University of Chester,North West England,2005.0,"He that teacheth, on teaching",79,1579,,4.5,10800,11000,5.40%,79.10%,"10,000-14,999",600-699,Public,Other,Urban,7471,53.2003,-2.8998,www.chester.ac.uk
79,University of the Arts London,London,1986.0,First among artists,79,459,,5.5,15950,17250,42.70%,70.10%,"15,000-19,999","2,000-2,499",Public,,,12000,51.5178,-0.1164,www.arts.ac.uk/
80,York St John University,Yorkshire and the Humber,1841.0,They may have life and have it more abundantly,81,2643,,5.5,10000,10000,8.70%,0%,"6,000-6,999",300-399,Public,,Urban,8000,53.9663,-1.0829,www.yorksj.ac.uk/
81,Queen Margaret University,Scotland,2007.0,,82,2494,,4.5,10700,11000,18.30%,76.50%,"5,000-5,999",200-299,Public,Semesters,Suburban,7500,55.9308,-3.0736,www.qmced.ac.uk
82,Robert Gordon University,Scotland,1992.0,Make the best of all your abilities,83,1163,,4.5,10000,11500,14.90%,80.40%,"10,000-14,999",600-699,Public,Semesters,Suburban,7000,57.1189,-2.1379,www.rgu.ac.uk
83,University of Greenwich,London,1890.0,"To learn, to do, to achieve",84,747,68.7,4.0,10850,11700,14.90%,78.40%,"15,000-19,999","1,000-1,499",Public,Semesters,Suburban,10229,51.483,-0.0064,www.gre.ac.uk
84,"St Mary's University, Twickenham",London,9999.0,Show Thyself a Mother,85,2386,,4.5,11000,13000,4.20%,79.00%,"5,000-5,999",300-399,Private,,Suburban,8000,51.4363,-0.3345,www.stmarys.ac.uk
85,London South Bank University,London,1892.0,Do it with thy Might,86,1040,,4.5,10500,10500,9.10%,77.90%,"15,000-19,999","1,000-1,499",Public,Semesters,Urban,9000,51.4981,-0.1024,www.sbu.ac.uk
86,Teesside University,North East England,1992.0,Deeds Not Words,87,1341,,4.5,10750,10950,6.30%,79.50%,"15,000-19,999",700-799,Public,,Urban,8000,54.5707,-1.2353,www.tees.ac.uk
87,,East of England,1992.0,Seek Knowledge Throughout Life,88,604,69.5,4.0,11000,12000,14.00%,78.30%,"20,000-24,999","1,500-1,999",Public,Semesters,Suburban,9415,51.7615,-0.2483,www.herts.ac.uk
88,Royal Agricultural University,South West England,2013.0,Caring for the Fields and the Beasts,89,4336,,5.5,10000,11000,7.20%,82.30%,"1,000-1,999",50-99,Public,Other,Rural,9400,51.7105,-1.995,www.rau.ac.uk
89,Solent University,South East England,2004.0,Spark Your Imagination,89,1682,,4.5,10380,10930,13.30%,79.00%,"9,000-9,999",600-699,Public,Semesters,Urban,7500,50.9083,-1.4004,www.solent.ac.uk
90,University of Derby,East Midlands,1992.0,Experience Teaches,91,1140,,4.5,10900,11440,8.00%,78.60%,"15,000-19,999","1,000-1,499",Public,Other,Urban,10500,52.9379,-1.4972,www.derby.ac.uk
91,University of Buckingham,South East England,1973.0,Flying on our own Wings,92,2004,,4.5,17160,14140,50.50%,80.50%,"3,000-3,999",100-199,Private,,Rural,8000,51.9954,-0.9917,www.buckingham.ac.uk
92,University of Worcester,West Midlands,2005.0,Inspire to Aspire,92,2346,,4.5,11120,11400,5.60%,82.80%,"10,000-14,999",900-999,Public,Semesters,Suburban,8097,52.198,-2.242,www.worcester.ac.uk
93,Bournemouth University,South West England,1992.0,To learn is to change,94,782,68.9,4.5,13000,12750,8.70%,75.40%,"15,000-19,999",900-999,Public,,Urban,8217,50.7435,-1.8983,www.bournemouth.ac.uk
94,,South West England,2001.0,In Spirit and Truth,95,2073,,4.5,11500,11500,3.70%,78.00%,"8,000-8,999",600-699,Public,Semesters,Suburban,8217,51.8879,-2.0888,www.glos.ac.uk
95,Birmingham City University,West Midlands,1992.0,Do what you are doing; attend to your business,96,573,,4.5,13500,14500,9.00%,0%,"25,000-29,999","1,500-1,999",Public,Semesters,Urban,6000,52.4833,-1.8848,www.bcu.ac.uk
96,Glasgow Caledonian University,Scotland,1993.0,For the Common Weal,96,1284,67.2,4.5,10467,11133,8.10%,76.50%,"15,000-19,999",700-799,Public,Trimesters,Urban,8000,55.8668,-4.25,www.gcu.ac.uk
97,University of Winchester,South East England,,Wisdom and Knowledge,98,2190,,4.5,11300,11650,6.10%,78.50%,"7,000-7,999",700-799,Public,Semesters,Suburban,10000,51.06,-1.3277,winchester.ac.uk
98,Abertay University,Scotland,,Blessed is the one who finds wisdom,98,1066,,5.5,10700,11400,9.00%,81.30%,"4,000-4,999",200-299,Public,Semesters,Urban,6500,56.4633,-2.9739,www.abertay.ac.uk
99,Brunel University London,London,1966.0,"To bring benefit to society through excellence in education, research and knowledge transfer",100,578,73.5,4.5,13500,13500,20.60%,73.40%,"10,000-14,999","1,000-1,499",Public,Trimesters,Suburban,7000,51.5321,-0.4727,www.brunel.ac.uk
100,Edinburgh Napier University,Scotland,1992.0,"Without knowledge, everything is in vain",101,676,66.2,4.5,11250,12000,16.60%,75.90%,"10,000-14,999",800-899,Public,Trimesters,Urban,8000,55.9332,-3.2142,www.napier.ac.uk
101,,Wales,2010.0,,102,1855,,4.5,10000,11000,15.59%,78.60%,"10,000-14,999",700-799,Public,Semesters,Rural,7771,52.1144,-4.0754,www.uwtsd.ac.uk/
102,Bishop Grosseteste University,East of England,1862.0,Not all things to oneself,102,4547,,5.5,10000,6000,15.59%,75.80%,"2,000-2,999",100-199,Public,,Urban,7500,53.2439,-0.5366,www.bishopg.ac.uk/
103,Plymouth Marjon University,South West England,1923.0,Out of studies comes character,102,3916,,6.0,9250,9250,15.59%,82.70%,"2,000-2,999",50-99,Private,,,8217,50.4201,-4.11,www.marjon.ac.uk
104,University of Bradford,Yorkshire and the Humber,,Give invention light,105,1392,68.6,4.5,12100,12650,14.90%,0%,"9,000-9,999",500-599,Public,Semesters,Urban,8270,53.7915,-1.7661,www.brad.ac.uk
105,Kingston University,London,1992.0,Through learning we progress,106,817,67.4,4.5,11300,12500,14.50%,78.30%,"15,000-19,999","1,000-1,499",Public,Semesters,Urban,10229,51.4032,-0.3035,www.kingston.ac.uk/
106,Middlesex University,London,1973.0,,107,537,67.5,4.0,11200,13000,20.70%,74.00%,"15,000-19,999","1,000-1,499",Public,Semesters,,9000,51.5897,-0.2293,www.mdx.ac.uk
107,University of the West of Scotland,Scotland,1897.0,To achieve through hard work,108,1905,66.9,4.5,11000,11000,5.20%,78.00%,"15,000-19,999",600-699,Public,Trimesters,Urban,8000,55.7782,-4.1041,www.uws.ac.uk
108,,North East England,1992.0,Sweetly absorbing knowledge,109,1050,,4.0,8350,9600,25.10%,77.20%,"10,000-14,999",900-999,Public,Continuous,Urban,8000,54.9046,-1.3915,www.sunderland.ac.uk
109,Bath Spa University,South West England,1975.0,,110,1334,,4.5,11300,11300,7.40%,72.20%,"7,000-7,999",600-699,Public,,Rural,8217,51.3749,-2.4394,www.bathspa.ac.uk
110,,North West England,1967.0,Let us seek higher things,111,680,67.7,4.5,11795,12000,11.10%,76.80%,"20,000-24,999","1,000-1,499",Public,Semesters,Urban,7471,53.4872,-2.2737,www.salford.ac.uk
111,Cardiff Metropolitan University,Wales,2011.0,The most valuable possession is knowledge,112,1821,,4.5,10800,12500,18.00%,80.00%,"10,000-14,999",700-799,Public,Semesters,Urban,7500,51.496,-3.2121,www.cardiffmet.ac.uk
112,Buckinghamshire New University,South East England,,By Art and Industry,113,2727,,4.5,9500,10600,7.60%,79.70%,"10,000-14,999",400-499,Public,Semesters,Suburban,8990,51.6279,-0.7533,bucks.ac.uk/
113,University of South Wales,Wales,1841.0,Success Through Endeavour,114,1129,66.4,4.5,10100,10300,11.80%,79.50%,"20,000-24,999","1,000-1,499",Public,Trimesters,,7771,51.479,-3.1694,www.southwales.ac.uk/
114,Newman University,West Midlands,9999.0,From the shadow to the truth,115,5253,,4.5,10500,10500,15.59%,81.20%,"2,000-2,999",100-199,Public,,Suburban,10000,52.433,-1.9936,www.newman.ac.uk/
115,University of Northampton,East Midlands,9999.0,Let us not be ignorant,116,1198,,4.0,10700,10700,9.60%,73.90%,"10,000-14,999",800-899,Public,,Suburban,9000,52.2305,-0.887,www.northampton.ac.uk
116,Leeds Trinity University,Yorkshire and the Humber,2012.0,Knowledge and Excellence,117,3200,,4.5,10750,11250,0.70%,74.80%,"3,000-3,999",100-199,Public,Semesters,Suburban,7500,53.8483,-1.6453,www.leedstrinity.ac.uk/
117,Canterbury Christ Church University,South East England,2005.0,The truth shall set you free,118,1578,,4.5,11000,9500,5.70%,75.70%,"10,000-14,999",700-799,Public,Trimesters,Urban,8990,51.2795,1.0899,www.canterbury.ac.uk
118,University of Westminster,London,1838.0,The Lord is our Strength,119,801,66.9,5.5,12000,14000,21.10%,75.10%,"15,000-19,999","1,500-1,999",Public,Semesters,Urban,10229,51.517,-0.1432,www.wmin.ac.uk
119,Anglia Ruskin University,East of England,1858.0,Excellence through partnership,120,730,68.1,4.0,10500,10500,10.40%,79.00%,"20,000-24,999",900-999,Public,Semesters,Urban,9415,52.2033,0.1345,www.anglia.ac.uk
120,University of Cumbria,North West England,9999.0,,121,2333,,4.5,10500,10500,1.50%,73.80%,"7,000-7,999",400-499,Public,,,6000,54.8909,-2.9222,www.cumbria.ac.uk
121,University of Brighton,South East England,1992.0,,122,761,71.1,4.5,12660,12830,13.70%,75.80%,"20,000-24,999","1,500-1,999",Public,Continuous,,8990,50.8598,-0.0879,www.brighton.ac.uk
122,,Yorkshire and the Humber,1992.0,,123,657,66.1,4.5,9500,11500,5.70%,79.30%,"20,000-24,999","1,000-1,499",Public,Semesters,Urban,8270,53.8035,-1.548,www.lmu.ac.uk
123,University of Wolverhampton,West Midlands,1992.0,Innovation and opportunity,124,864,66.0,4.5,10000,10000,15.59%,78.80%,"15,000-19,999",900-999,Public,Semesters,,8097,52.5876,-2.1273,www.wlv.ac.uk/
124,University of Bolton,North West England,2004.0,Wisdom is over Morus,125,2100,,4.5,11250,11250,6.90%,82.10%,"6,000-6,999",300-399,Public,Semesters,Urban,5500,53.5742,-2.4362,www.bolton.ac.uk
125,London Metropolitan University,London,1848.0,Knowledge in Abundance,126,1025,,4.5,11400,13500,12.40%,75.70%,"9,000-9,999",400-499,Public,Continuous,Urban,15000,51.5526,-0.1113,www.londonmet.ac.uk
